,Unnamed: 0,Stop ID,Stop Latitude,Stop Longitude,Stop Name,Suburb,Location,distance_next_stop,distance_suburb_center,# of Bus Stops (in Suburbs),Population Density,Label
104,104,1263,-35.355114,149.050797,NAMATJIRA DR AFTER BADIMARA ST,FISHER,"(-35.355114, 149.050797)",0.330613544,0.863283458,0.006245121,0.625,1
105,105,5028,-35.231945,149.049728,SOUTHERN CROSS AFTER RATCLIFFE ST,FLOREY,"(-35.231945, 149.049728)",0.067450273,0.680326268,0.012880562,0.357142857,1
106,106,5003,-35.229382,149.044449,SOUTHERN CROSS DR BEFORE RATCLIFFE CR,FLOREY,"(-35.229382, 149.044449)",0.208170564,0.601504042,0.012880562,0.357142857,1
107,107,4064,-35.224728,149.054993,JOHN CLELAND CR AFTER CONNAH ST,FLOREY,"(-35.224728, 149.054993)",0.896110411,0.518961219,0.012880562,0.357142857,1
108,108,4570,-35.213284,149.046417,KINGSFORD SMITH DR AFTER COMPANION CR,FLYNN,"(-35.213284, 149.046417)",0.15851983,1.249773595,0.008587041,0.476190476,1
109,109,4436,-35.210693,149.047989,KINGSFORD SMITH DR BEFORE VERBRUGGHEN ST,FLYNN,"(-35.210693, 149.047989)",0.191384466,0.934749232,0.008587041,0.476190476,1
110,110,4202,-35.208279,149.042145,COMPANION CR AFTER 2ND NULSEN CCT,FLYNN,"(-35.208279, 149.042145)",0.595120817,0.979569013,0.008587041,0.476190476,1
111,111,6339,-35.178909,149.144272,DAVID WALSH AVE AFTER HORSE PARK DR,FORDE,"(-35.178909, 149.144272)",0.936928454,1.396979406,0.005464481,0.526315789,1
112,112,6312,-35.171356,149.148834,ZAKHAROV AFTER JUSTICE KELLY ST,FORDE,"(-35.171356, 149.148834)",0.936928454,0.762394197,0.005464481,0.526315789,1
113,113,6317,-35.162506,149.149857,AMY ACKMAN ST AFTER TURBAYNE CRES,FORDE,"(-35.162506, 149.149857)",0.941602816,0.754310859,0.005464481,0.526315789,1
114,114,2313,-35.318478,149.11557,MELBOURNE AV OPP SENIOR GIRLS GRAMMAR SCHOOL,FORREST,"(-35.318478, 149.11557)",0.284211935,0.857137466,0.003903201,0.636942675,1
115,115,2595,-35.316414,149.117416,MELBOURNE AV BEFORE EMPIRE CCT,FORREST,"(-35.316414, 149.117416)",0.284211935,0.712138844,0.003903201,0.636942675,1
116,116,2593,-35.312927,149.120529,MELBOURNE AV SOUTH OF SOMERS CR,FORREST,"(-35.312927, 149.120529)",0.479859233,0.700097811,0.003903201,0.636942675,1
117,117,6186,-35.200275,149.141541,OODGEROO AV AFTER GWEN MEREDITH,FRANKLIN,"(-35.200275, 149.141541)",0.014350626,0.092375532,0.007416081,0.434782609,1
118,118,6187,-35.200394,149.141602,OOGEROO AV BEFORE HOSKINS ST,FRANKLIN,"(-35.200394, 149.141602)",0.014350626,0.092641173,0.007416081,0.434782609,1
119,119,6185,-35.189995,149.143555,MANNING CLARK CR AFTER FLEMINGTON RD,FRANKLIN,"(-35.189995, 149.143555)",1.158004339,1.116978559,0.007416081,0.434782609,1
120,120,4933,-35.189999,149.047211,DALEY CR OPP FRASER EAST TERMINUS,FRASER,"(-35.189999, 149.047211)",0.661771289,0.412118334,0.012490242,0.4,1
121,121,4932,-35.190842,149.035538,SHAKESPEARE CR FRASER OPP WEST TERMINUS,FRASER,"(-35.190842, 149.035538)",1.065229417,1.377539784,0.012490242,0.4,1
122,122,4887,-35.192387,149.053879,BINGLEY CR AFTER MORONEY ST,FRASER,"(-35.192387, 149.053879)",0.554331907,0.302319918,0.012490242,0.4,1
123,123,5127,-35.330887,149.162582,CANBERRA AV AFTER IPSWICH ST,FYSHWICK,"(-35.330887, 149.162582)",0.815016865,1.057174456,0.017174083,0.102459016,1
124,124,2406,-35.327408,149.181198,ALBANY ST BEFORE COLLIE ST,FYSHWICK,"(-35.327408, 149.181198)",0.265818177,0.676775174,0.017174083,0.102459016,1
125,125,2407,-35.326725,149.178391,WOLLONGONG ST COMMONWEALTH BANK,FYSHWICK,"(-35.326725, 149.178391)",0.265818177,0.472031418,0.017174083,0.102459016,1
126,126,2302,-35.345757,149.104965,GILMORE CR AFTER ELDRIDGE CR,GARRAN,"(-35.345757, 149.104965)",0.012100453,0.500457761,0.010928962,0.37037037,1
127,127,2303,-35.345863,149.104935,GILMORE CR 2ND AFTER HARTIGAN ST,GARRAN,"(-35.345863, 149.104935)",0.012100453,0.511817812,0.010928962,0.37037037,1
128,128,2382,-35.346485,149.099747,YAMBA DR THE CANBERRA HOSPITAL,GARRAN,"(-35.346485, 149.099747)",0.475197957,0.899750274,0.010928962,0.37037037,1
